Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0.0,0,Insert,181518159,A,1000,1136,G
0.0,0,Insert,181518167,A,1000,1135,G
0.0,0,Insert,181518171,A,2000,1478,G
0.0,0,Insert,181518175,B,8000,1133,G
0.0,0,Insert,181518187,B,1000,1133,G
0.0,0,Insert,181518191,B,3000,1130,G
0.0,0,Insert,181518243,A,1000,1135,G
0.0,0,Insert,181518255,A,1000,1140,G
0.0,0,Insert,181518447,A,1000,1147,G
0.0,0,Insert,181518527,B,1000,1133,G
0.0,0,Insert,181518999,A,1000,1184,G
0.0,0,Cancel,181518527,,,,G
0.0,0,Insert,181519363,B,1000,1133,G
0.0,0,Cancel,181518243,,,,G
0.0,0,Cancel,181518167,,,,G
0.0,0,Insert,181521535,A,8000,1137,G
0.0,0,Insert,181521539,A,1000,1137,G
0.0,0,Insert,181521543,B,1000,1131,G
0.0,0,Insert,181521567,B,2000,1131,G
0.0,0,Insert,181521579,A,1000,1136,G
0.0,0,Insert,181521583,A,770,1136,G
0.0,0,Insert,181521607,A,1000,1135,G
0.0,0,Cancel,181521539,,,,G
0.0,0,Insert,181521615,A,3000,1137,G
0.0,0,Insert,181521623,B,1000,1133,G
0.0,0,Insert,181521643,A,1000,1135,G
0.0,0,Cancel,181521643,,,,G
0.0,0,Cancel,181518159,,,,G
0.0,0,Insert,181521975,B,2000,797,G
0.0,0,Insert,181522055,A,770,1135,G
0.0,0,Cancel,181519363,,,,G
0.0,0,Insert,181522115,B,1000,1133,G
0.0,0,Insert,181522339,B,1000,1127,G
0.0,0,Cancel,181521543,,,,G
0.0,0,Cancel,181521975,,,,G
0.0,0,Insert,181522371,B,2000,796,G
0.0,0,Insert,181522543,B,1000,1133,G
0.0,0,Insert,181522795,B,1000,1133,G
0.0,0,Cancel,181522543,,,,G
0.0,0,Cancel,181522795,,,,G
0.0,0,Insert,181524019,B,1000,1128,G
0.0,0,Insert,181524023,A,1000,1150,G
0.0,0,Insert,181524159,B,1000,1133,G
0.0,0,Cancel,181524159,,,,G
0.0,0,Cancel,181521623,,,,G
0.0,0,Insert,181524751,A,2000,1146,G
0.0,0,Cancel,181522115,,,,G
0.0,0,Insert,181525223,A,1000,1135,G
0.0,0,Insert,181525343,B,1000,1133,G
0.0,0,Cancel,181522055,,,,G
0.0,0,Insert,181525351,B,1000,1133,G
0.0,0,Cancel,181525223,,,,G
0.0,0,Insert,181525363,B,1000,1131,G
0.0,0,Insert,181525367,B,1000,1133,G
0.0,0,Cancel,181521607,,,,G
0.0,0,Insert,181525447,A,2000,1137,G
0.0,0,Cancel,181525351,,,,G
0.0,0,Insert,181525455,A,1000,1141,G
0.0,0,Insert,181525463,B,1000,1133,G
0.0,0,Insert,181525523,A,1000,1136,G
0.0,0,Insert,181525527,A,1000,1136,G
0.0,0,Insert,181525531,A,1000,1136,G
0.0,0,Insert,181525535,B,870,1133,G
0.0,0,Cancel,181522371,,,,G
0.0,0,Insert,181525539,B,2000,797,G
0.0,0,Insert,181525555,A,1000,1136,G
0.0,0,Cancel,181525523,,,,G
0.0,0,Cancel,181518171,,,,G
0.0,0,Insert,181525579,A,2000,1479,G
0.0,0,Insert,181525587,B,1000,1119,G
0.0,0,Insert,181525607,A,1000,1135,G
0.0,0,Cancel,181525447,,,,G
0.0,0,Insert,181525611,B,1000,1133,G
0.0,0,Cancel,181525579,,,,G
0.0,0,Insert,181525623,A,2000,1478,G
0.0,0,Cancel,181525607,,,,G
0.0,0,Insert,181525663,B,770,1133,G
0.0,0,Cancel,181525623,,,,G
0.0,0,Insert,181525703,A,2000,1479,G
0.0,0,Insert,181525735,B,1000,1133,G
0.0,0,Cancel,181522339,,,,G
0.0,0,Cancel,181525555,,,,G
0.0,0,Cancel,181525663,,,,G
0.0,0,Cancel,181525367,,,,G
0.0,0,Cancel,181525703,,,,G
0.0,0,Insert,181526687,A,2000,1478,G
0.0,0,Cancel,181526687,,,,G
0.0,0,Insert,181526727,A,2000,1479,G
0.0,0,Cancel,181525587,,,,G
0.0,0,Insert,181526759,A,1000,1135,G
0.0,0,Insert,181526763,B,1000,1127,G
0.0,0,Cancel,181525363,,,,G
0.0,0,Cancel,181526727,,,,G
0.0,0,Insert,181526775,A,2000,1478,G
0.0,0,Cancel,181525539,,,,G
0.0,0,Insert,181526783,B,2000,796,G
0.0,0,Cancel,181525735,,,,G
0.0,0,Cancel,181525535,,,,G
0.0,0,Cancel,181525343,,,,G
0.0,0,Insert,181526835,A,770,1135,G
0.0,0,Cancel,181518191,,,,G
0.045174,1,Insert,5070189,B,19,1133,G
0.243851,1,Insert,7046012,A,10000,1140,G
0.243851,1,Insert,7046013,B,10000,1128,G
0.25008,0,Insert,181526843,A,1000,1135,G
0.250122,1,Cancel,7046012,,,,
0.250122,1,Cancel,7046013,,,,
0.250122,1,Insert,7046014,A,10000,1140,G
0.250122,1,Insert,7046015,B,10000,1128,G
0.250136,0,Cancel,181526835,,,,G
0.250432,0,Cancel,181525463,,,,G
0.250475,0,Insert,181526927,A,1000,1135,G
0.250503,0,Cancel,181526927,,,,G
0.250656,0,Insert,181526963,B,1000,1133,G
0.253177,0,Cancel,181526759,,,,G
0.253224,0,Cancel,181526843,,,,G
0.253512,0,Insert,181527343,A,1000,1136,G
0.253529,0,Insert,181527347,B,870,1133,G
0.253567,0,Insert,181527351,B,1000,1131,G
0.253639,0,Cancel,181526775,,,,G
0.253639,0,Insert,181527355,A,2000,1479,G
0.258553,0,Insert,181527463,A,2000,1137,G
0.276963,0,Cancel,181525455,,,,G
0.277089,0,Cancel,181527355,,,,G
0.277089,0,Insert,181527775,A,2000,1478,G
0.278204,0,Insert,181527815,B,770,1133,G
0.278233,0,Insert,181527823,A,1000,1137,G
0.280414,0,Insert,181527911,B,1000,1118,G
0.289507,0,Cancel,181526783,,,,G
0.289507,0,Insert,181528071,B,2000,797,G
0.304977,0,Insert,181528243,B,2000,1132,G
0.304977,0,Cancel,181521583,,,,G
0.304979,0,Insert,181528247,B,8000,1134,G
0.304991,0,Cancel,181525611,,,,G
0.304991,0,Insert,181528263,B,1000,1134,G
0.305014,0,Insert,181528271,B,3000,1132,G
0.305047,0,Cancel,181526763,,,,G
0.30507,0,Cancel,181527775,,,,G
0.30507,0,Insert,181528291,A,2000,1479,G
0.305313,0,Insert,181528323,B,160,1133,G
0.305334,0,Insert,181528327,A,1000,1141,G
0.305342,0,Insert,181528331,B,1000,1134,G
0.305352,0,Cancel,181527343,,,,G
0.305434,0,Cancel,181525527,,,,G
0.30555,0,Cancel,181524023,,,,G
0.305552,0,Cancel,181527911,,,,G
0.305687,0,Insert,181528367,A,1000,1136,G
0.305854,0,Insert,181528379,A,1000,1136,G
0.305858,0,Insert,181528387,B,1000,1134,G
0.306069,0,Cancel,181528379,,,,G
0.306078,0,Cancel,181525531,,,,G
0.306802,0,Cancel,181528367,,,,G
0.308949,0,Cancel,181528387,,,,G
0.308966,0,Cancel,181528263,,,,G
0.309033,0,Cancel,181528247,,,,G
0.309038,0,Cancel,181528271,,,,G
0.309042,0,Cancel,181521615,,,,G
0.309042,0,Insert,181528991,A,780,1136,G
0.309339,0,Cancel,181528323,,,,G
0.312691,0,Cancel,181527815,,,,G
0.312821,0,Insert,181529091,A,1000,1136,G
0.312822,0,Insert,181529095,A,1000,1136,G
0.312841,0,Insert,181529099,A,1000,1136,G
0.316843,0,Insert,181529323,B,8000,1134,G
0.316855,0,Insert,181529331,B,1000,1134,G
0.316895,0,Cancel,181529099,,,,G
0.316986,0,Cancel,181528991,,,,G
0.317338,0,Cancel,181529095,,,,G
0.317628,0,Insert,181529667,B,1000,1132,G
0.317937,0,Cancel,181529667,,,,G
0.319556,0,Insert,181530051,A,780,1136,G
0.320277,0,Insert,181530075,A,8000,1136,G
0.320542,0,Insert,181530099,A,1000,1136,G
0.323701,0,Cancel,181529331,,,,G
0.323735,0,Cancel,181529323,,,,G
0.323762,0,Insert,181530255,A,1000,1136,G
0.32434,0,Insert,181530295,A,1000,1136,G
0.324394,0,Cancel,181528331,,,,G
0.329235,0,Insert,181530811,B,780,1133,G
0.329261,0,Cancel,181530255,,,,G
0.343032,0,Insert,181531635,B,1000,1131,G
0.367574,0,Insert,181532439,B,8000,1134,G
0.367612,0,Insert,181532443,B,3000,1131,G
0.367811,0,Insert,181532483,B,1000,1134,G
0.367844,0,Insert,181532499,B,1000,1134,G
0.367846,0,Cancel,181530099,,,,G
0.367865,0,Cancel,181530295,,,,G
0.367922,0,Insert,181532527,B,1000,1134,G
0.368009,0,Cancel,181530051,,,,G
0.368066,0,Cancel,181530075,,,,G
0.368093,0,Cancel,181529091,,,,G
0.368495,0,Insert,181532743,B,1000,1132,G
